Z-35b,Z-35a,Z-34b,Z-34a,Z-33b,Z-33a,,,,,,,,,,,,,,,,,,,Z-32b,Z-32a,Z-31b,Z-31a,Z-30b,Z-30a,Z-29b,Z-29a,,Z-28b,Z-28a,Z-27b,Z-27a,Z-26b,Z-26a,Z-25b,Z-25a,,,,,,,,Z-24b,Z-24a,Z-23b,Z-23a,Z-22b,Z-22a,Z-21b,Z-21a,Z-20b,Z-20a,Z-19b,Z-19a,,,,,Z-18b,Z-18a,Z-17b,Z-17a,Z-16b,Z-16a,Z-15b,Z-15a,Z-14b,Z-14a,Z-13b,Z-13a,,,,,Z-12b,Z-12a,Z-11b,Z-11a,Z-10b,Z-10a,Z-09b,Z-09a,Z-08b,Z-08a,Z-07b,Z-07a,,,,,,Z-06b,Z-06a,Z-05b,Z-05a,Z-04b,Z-04a,Z-03b,Z-03a,Z-02b,Z-02a,Z-01b,Z-01a,,,,,,,,,,,,,AA-20,AA-19,AA-18,AA-17,,AA-16,AA-15,,,,AA-14,AA-13,AA-12,AA-11,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,R-31b,R-31a,R-30b,R-30a,,,Q-31b,Q-31a,Q-30b,Q-30a,,,P-31b,P-31a,P-30b,P-30a,,,,,O-31b,O-31a,O-30b,O-30a,,,N-31b,N-31a,N-30b,N-30a,,,M-31b,M-31a,M-30b,M-30a,,,L-31b,L-31a,L-30b,L-30a,,,K-31b,K-31a,K-30b,K-30a,,,J-31b,J-31a,J-30b,J-30a,,,I-31b,I-31a,I-30b,I-30a,,,,,H-31b,H-31a,H-30b,H-30a,,,G-31b,G-31a,G-30b,G-30a,,,F-31b,F-31a,F-30b,F-30a,,,E-31b,E-31a,E-30b,E-30a,,,D-31b,D-31a,D-30b,D-30a,,,C-31b,C-31a,C-30b,C-30a,,,B-31b,B-31a,B-30b,B-30a,,,,,,,AF-27,AF-26,,,AE-27,AE-26,,,AD-27,AD-26,,,AC-27,AC-26,,,AB-27,AB-26,,,,
,,,,,R-32a,R-29a,,,,,Q-32a,Q-29a,,,,,P-32a,P-29a,,,,,,,O-32a,O-29a,,,,,N-32a,N-29a,,,,,M-32a,M-29a,,,,,L-32a,L-29a,,,,,K-32a,K-29a,,,,,J-32a,J-29a,,,,,I-32a,I-29a,,,,,,,H-32a,H-29a,,,,,G-32a,G-29a,,,,,F-32a,F-29a,,,,,E-32a,E-29a,,,,,D-32a,D-29a,,,,,C-32a,C-29a,,,,,B-32a,B-29a,,,,,,,,AF-27,AF-26,,,AE-27,AE-26,,,AD-27,AD-26,,,AC-27,AC-26,,,AB-27,AB-26,,,,
,,,,,R-32b,R-29b,,,,,Q-32b,Q-29b,,,,,P-32b,P-29b,,,,,,,O-32b,O-29b,,,,,N-32b,N-29b,,,,,M-32b,M-29b,,,,,L-32b,L-29b,,,,,K-32b,K-29b,,,,,J-32b,J-29b,,,,,I-32b,I-29b,,,,,,,H-32b,H-29b,,,,,G-32b,G-29b,,,,,F-32b,F-29b,,,,,E-32b,E-29b,,,,,D-32b,D-29b,,,,,C-32b,C-29b,,,,,B-32b,B-29b,,,,,,,,AF-28,AF-25,,,AE-28,AE-25,,,AD-28,AD-25,,,AC-28,AC-25,,,AB-28,AB-25,,,,
,,,,,R-33a,R-28a,,,,,Q-33a,Q-28a,,,,,P-33a,P-28a,,,,,,,O-33a,O-28a,,,,,N-33a,N-28a,,,,,M-33a,M-28a,,,,,L-33a,L-28a,,,,,K-33a,K-28a,,,,,J-33a,J-28a,,,,,I-33a,I-28a,,,,,,,H-33a,H-28a,,,,,G-33a,G-28a,,,,,F-33a,F-28a,,,,,E-33a,E-28a,,,,,D-33a,D-28a,,,,,C-33a,C-28a,,,,,B-33a,B-28a,,,,,,,,AF-28,AF-25,,,AE-28,AE-25,,,AD-28,AD-25,,,AC-28,AC-25,,,AB-28,AB-25,,,,
,,,,,R-33b,R-28b,,,,,Q-33b,Q-28b,,,,,P-33b,P-28b,,,,,,,O-33b,O-28b,,,,,N-33b,N-28b,,,,,M-33b,M-28b,,,,,L-33b,L-28b,,,,,K-33b,K-28b,,,,,J-33b,J-28b,,,,,I-33b,I-28b,,,,,,,H-33b,H-28b,,,,,G-33b,G-28b,,,,,F-33b,F-28b,,,,,E-33b,E-28b,,,,,D-33b,D-28b,,,,,C-33b,C-28b,,,,,B-33b,B-28b,,,,,,,,AF-29,AF-24,,,AE-29,AE-24,,,AD-29,AD-24,,,AC-29,AC-24,,,AB-29,AB-24,,,,
