Z-35b,Z-35a,Z-34b,Z-34a,Z-33b,Z-33a,,,,,,,,,,,,,,,,,,,Z-32b,Z-32a,Z-31b,Z-31a,Z-30b,Z-30a,Z-29b,Z-29a,,Z-28b,Z-28a,Z-27b,Z-27a,Z-26b,Z-26a,Z-25b,Z-25a,,,,,,,,Z-24b,Z-24a,Z-23b,Z-23a,Z-22b,Z-22a,Z-21b,Z-21a,Z-20b,Z-20a,Z-19b,Z-19a,,,,,Z-18b,Z-18a,Z-17b,Z-17a,Z-16b,Z-16a,Z-15b,Z-15a,Z-14b,Z-14a,Z-13b,Z-13a,,,,,Z-12b,Z-12a,Z-11b,Z-11a,Z-10b,Z-10a,Z-09b,Z-09a,Z-08b,Z-08a,Z-07b,Z-07a,,,,,,Z-06b,Z-06a,Z-05b,Z-05a,Z-04b,Z-04a,Z-03b,Z-03a,Z-02b,Z-02a,Z-01b,Z-01a,,,,,,,,,,,,,AA-20,AA-19,AA-18,AA-17,,AA-16,AA-15,,,,AA-14,AA-13,AA-12,AA-11,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,R-31b,R-31a,R-30b,R-30a,,,Q-31b,Q-31a,Q-30b,Q-30a,,,P-31b,P-31a,P-30b,P-30a,,,,,O-31b,O-31a,O-30b,O-30a,,,N-31b,N-31a,N-30b,N-30a,,,M-31b,M-31a,M-30b,M-30a,,,L-31b,L-31a,L-30b,L-30a,,,K-31b,K-31a,K-30b,K-30a,,,J-31b,J-31a,J-30b,J-30a,,,I-31b,I-31a,I-30b,I-30a,,,,,H-31b,H-31a,H-30b,H-30a,,,G-31b,G-31a,G-30b,G-30a,,,F-31b,F-31a,F-30b,F-30a,,,E-31b,E-31a,E-30b,E-30a,,,D-31b,D-31a,D-30b,D-30a,,,C-31b,C-31a,C-30b,C-30a,,,B-31b,B-31a,B-30b,B-30a,,,,,,,AF-27,AF-26,#4,#4,AE-27,AE-26,#4,#4,AD-27,AD-26,#4,#4,AC-27,AC-26,#4,#4,AB-27,AB-26,,,,
,,,,,R-32a,R-29a,#4,#4,#4,#4,Q-32a,Q-29a,#4,#4,#4,#4,P-32a,P-29a,#2,#2,#2,#2,#2,#2,O-32a,O-29a,#4,#4,#4,#4,N-32a,N-29a,#4,#4,#4,#4,M-32a,M-29a,#4,#4,#4,#4,L-32a,L-29a,#4,#4,#4,#4,K-32a,K-29a,#4,#4,#4,#4,J-32a,J-29a,#4,#4,#4,#4,I-32a,I-29a,#2,#2,#2,#2,#2,#2,H-32a,H-29a,#4,#4,#4,#4,G-32a,G-29a,#4,#4,#4,#4,F-32a,F-29a,#4,#4,#4,#4,E-32a,E-29a,#4,#4,#4,#4,D-32a,D-29a,#4,#4,#4,#4,C-32a,C-29a,#4,#4,#4,#4,B-32a,B-29a,,,,,,,,AF-27,AF-26,#4,#4,AE-27,AE-26,#4,#4,AD-27,AD-26,#4,#4,AC-27,AC-26,#4,#4,AB-27,AB-26,,,,
,,,,,R-32b,R-29b,#4,#4,#4,#4,Q-32b,Q-29b,#4,#4,#4,#4,P-32b,P-29b,#2,#2,#2,#2,#2,#2,O-32b,O-29b,#4,#4,#4,#4,N-32b,N-29b,#4,#4,#4,#4,M-32b,M-29b,#4,#4,#4,#4,L-32b,L-29b,#4,#4,#4,#4,K-32b,K-29b,#4,#4,#4,#4,J-32b,J-29b,#4,#4,#4,#4,I-32b,I-29b,#2,#2,#2,#2,#2,#2,H-32b,H-29b,#4,#4,#4,#4,G-32b,G-29b,#4,#4,#4,#4,F-32b,F-29b,#4,#4,#4,#4,E-32b,E-29b,#4,#4,#4,#4,D-32b,D-29b,#4,#4,#4,#4,C-32b,C-29b,#4,#4,#4,#4,B-32b,B-29b,,,,,,,,AF-28,AF-25,#4,#4,AE-28,AE-25,#4,#4,AD-28,AD-25,#4,#4,AC-28,AC-25,#4,#4,AB-28,AB-25,,,,
,,,,,R-33a,R-28a,#4,#4,#4,#4,Q-33a,Q-28a,#4,#4,#4,#4,P-33a,P-28a,#2,#2,#2,#2,#2,#2,O-33a,O-28a,#4,#4,#4,#4,N-33a,N-28a,#4,#4,#4,#4,M-33a,M-28a,#4,#4,#4,#4,L-33a,L-28a,#4,#4,#4,#4,K-33a,K-28a,#4,#4,#4,#4,J-33a,J-28a,#4,#4,#4,#4,I-33a,I-28a,#2,#2,#2,#2,#2,#2,H-33a,H-28a,#4,#4,#4,#4,G-33a,G-28a,#4,#4,#4,#4,F-33a,F-28a,#4,#4,#4,#4,E-33a,E-28a,#4,#4,#4,#4,D-33a,D-28a,#4,#4,#4,#4,C-33a,C-28a,#4,#4,#4,#4,B-33a,B-28a,,,,,,,,AF-28,AF-25,#4,#4,AE-28,AE-25,#4,#4,AD-28,AD-25,#4,#4,AC-28,AC-25,#4,#4,AB-28,AB-25,,,,
,,,,,R-33b,R-28b,#4,#4,#4,#4,Q-33b,Q-28b,#4,#4,#4,#4,P-33b,P-28b,#2,#2,#2,#2,#2,#2,O-33b,O-28b,#4,#4,#4,#4,N-33b,N-28b,#4,#4,#4,#4,M-33b,M-28b,#4,#4,#4,#4,L-33b,L-28b,#4,#4,#4,#4,K-33b,K-28b,#4,#4,#4,#4,J-33b,J-28b,#4,#4,#4,#4,I-33b,I-28b,#2,#2,#2,#2,#2,#2,H-33b,H-28b,#4,#4,#4,#4,G-33b,G-28b,#4,#4,#4,#4,F-33b,F-28b,#4,#4,#4,#4,E-33b,E-28b,#4,#4,#4,#4,D-33b,D-28b,#4,#4,#4,#4,C-33b,C-28b,#4,#4,#4,#4,B-33b,B-28b,,,,,,,,AF-29,AF-24,#4,#4,AE-29,AE-24,#4,#4,AD-29,AD-24,#4,#4,AC-29,AC-24,#4,#4,AB-29,AB-24,,,,
,,,,,R-34a,R-27a,#4,#4,#4,#4,Q-34a,Q-27a,#4,#4,#4,#4,P-34a,P-27a,#2,#2,#2,#2,#2,#2,O-34a,O-27a,#4,#4,#4,#4,N-34a,N-27a,#4,#4,#4,#4,M-34a,M-27a,#4,#4,#4,#4,L-34a,L-27a,#4,#4,#4,#4,K-34a,K-27a,#4,#4,#4,#4,J-34a,J-27a,#4,#4,#4,#4,I-34a,I-27a,#2,#2,#2,#2,#2,#2,H-34a,H-27a,#4,#4,#4,#4,G-34a,G-27a,#4,#4,#4,#4,F-34a,F-27a,#4,#4,#4,#4,E-34a,E-27a,#4,#4,#4,#4,D-34a,D-27a,#4,#4,#4,#4,C-34a,C-27a,#4,#4,#4,#4,B-34a,B-27a,,,,,,,,AF-29,AF-24,#4,#4,AE-29,AE-24,#4,#4,AD-29,AD-24,#4,#4,AC-29,AC-24,#4,#4,AB-29,AB-24,,,,
